"# PDIoT walking data"
"# Start time: 20180921T123824"
"# Group: B"
"# Subject:  Walking for 100 steps"
"# Activity type: Walking (level ground)"
"# Sensor position: Upper Leg"
"# Side of body: Right"
"# Sensor mounting: Body"
"# Number of steps: 100"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1537529904944","0","-0.9501953","0.20214844","-0.265625","0.125","-0.15625","-0.90625"
"1537529904952","1","-0.95214844","0.20019531","-0.26171875","0.125","0.09375","-0.90625"
"1537529904952","2","-0.95214844","0.203125","-0.25976562","-0.3125","-0.28125","-0.28125"
"1537529904952","3","-0.953125","0.20410156","-0.2607422","-0.4375","-0.65625","-0.15625"
"1537529904952","4","-0.94921875","0.19921875","-0.2626953","-0.96875","-0.65625","0.03125"
"1537529905141","5","-0.9511719","0.20996094","-0.26171875","-1.40625","-0.8125","-0.03125"
"1537529905141","6","-0.9501953","0.20800781","-0.26660156","-2.3125","-1.0625","-0.28125"
"1537529905142","7","-0.9501953","0.203125","-0.265625","-1.71875","-0.875","0.1875"
"1537529905142","8","-0.9501953","0.19824219","-0.26757812","-1.09375","-0.6875","-0.28125"
"1537529905143","9","-0.95214844","0.20019531","-0.2607422","-1.53125","-0.6875","-0.46875"
"1537529905340","10","-0.9511719","0.20703125","-0.26757812","-1.03125","-0.40625","-0.53125"
"1537529905341","11","-0.9550781","0.1953125","-0.25976562","-1.71875","-0.75","-0.78125"
"1537529905341","12","-0.95214844","0.19726562","-0.2548828","-2.1875","-0.875","-0.03125"
"1537529905342","13","-0.9550781","0.18945312","-0.25097656","-2.9375","-2.28125","-0.15625"
"1537529905343","14","-0.96972656","0.16699219","-0.2626953","2.875","-4.1875","-1.3125"
"1537529905539","15","-0.9765625","0.14746094","-0.29296875","9.09375","-5.21875","-2.78125"
"1537529905539","16","-0.9501953","0.15136719","-0.3095703","10.875","-3.375","-4.1875"
"1537529905539","17","-0.9355469","0.19140625","-0.30371094","8.625","-5.46875","-3.09375"
"1537529905540","18","-0.94628906","0.16503906","-0.29296875","10.5625","-7.96875","-0.84375"
"1537529905542","19","-0.9375","0.16601562","-0.3076172","15.5625","-4.84375","2.59375"
"1537529905738","20","-0.93066406","0.22363281","-0.2890625","12.875","-2.53125","3.125"
"1537529905740","21","-0.9472656","0.26660156","-0.2421875","-0.0625","-2.46875","4.0"
"1537529905740","22","-0.9873047","0.17773438","-0.22070312","-18.125","-5.21875","-0.65625"
"1537529905740","23","-0.99902344","0.10449219","-0.21386719","-20.4375","-8.875","-3.9375"
"1537529905740","24","-0.953125","0.20410156","-0.24316406","-8.90625","-3.28125","-1.5"
"1537529905937","25","-0.9580078","0.24414062","-0.20214844","-9.5625","-1.9375","-3.65625"
"1537529905937","26","-0.95703125","0.25097656","-0.1640625","-0.96875","-2.40625","-0.71875"
"1537529905937","27","-0.9501953","0.21972656","-0.16503906","-1.09375","-5.84375","0.5"
"1537529905937","28","-0.98828125","0.15527344","-0.20605469","16.1875","-13.28125","-7.1875"
"1537529905938","29","-0.9511719","0.017578125","-0.2685547","26.75","-0.21875","-20.375"
"1537529906136","30","-0.97558594","-0.14257812","-0.36523438","26.125","8.5","-35.1875"
"1537529906136","31","-0.8515625","-0.19628906","-0.34570312","27.65625","19.8125","-52.21875"
"1537529906136","32","-0.91308594","-0.19726562","-0.24316406","35.09375","28.84375","-74.5"
"1537529906136","33","-1.1660156","-0.06542969","-0.3857422","67.625","40.375","-73.65625"
"1537529906137","34","-1.1035156","-0.024414062","-0.30566406","19.84375","41.96875","-72.90625"
"1537529906334","35","-1.0048828","-0.0703125","-0.31347656","13.625","36.59375","-53.21875"
"1537529906335","36","-0.9785156","-0.2861328","-0.34277344","46.34375","25.375","-27.75"
"1537529906336","37","-0.9082031","-0.29296875","-0.2685547","74.15625","14.8125","-17.125"
"1537529906337","38","-0.8720703","-0.3310547","-0.32910156","79.09375","18.21875","-13.34375"
"1537529906337","39","-0.8701172","-0.31152344","-0.30371094","65.0","14.1875","-14.09375"
"1537529906532","40","-0.82128906","-0.3251953","-0.26367188","48.65625","6.875","-15.59375"
"1537529906533","41","-0.7919922","-0.44433594","-0.23144531","37.0625","2.65625","-25.5"
"1537529906533","42","-0.7890625","-0.40820312","-0.22753906","30.65625","-1.0","-34.34375"
"1537529906533","43","-0.7441406","-0.36523438","-0.27148438","11.0625","5.84375","-39.96875"
"1537529906534","44","-0.7783203","-0.4638672","-0.2919922","1.78125","4.84375","-41.78125"
"1537529906733","45","-0.8798828","-0.53515625","-0.32714844","-8.1875","14.0","-30.5625"
"1537529906733","46","-0.9580078","-0.61816406","-0.34960938","-2.875","17.375","-12.8125"
"1537529906734","47","-0.8046875","-0.5546875","-0.47460938","-6.28125","5.78125","4.34375"
"1537529906734","48","-0.5566406","-0.28222656","-0.3095703","-23.3125","22.4375","22.28125"
"1537529906735","49","-1.6328125","-0.14746094","-0.22265625","2.4375","69.3125","75.875"
"1537529906931","50","-1.7236328","-1.2177734","-0.5527344","16.0625","-35.4375","16.25"
"1537529906931","51","-0.44628906","0.60058594","-0.3544922","-21.28125","-13.21875","-8.21875"
"1537529906932","52","-0.4638672","0.73535156","-0.6123047","-71.21875","71.0625","59.84375"
"1537529906932","53","-1.2626953","-0.51171875","-0.7314453","-36.8125","20.90625","86.9375"
"1537529906933","54","-0.8017578","-0.14648438","-0.296875","12.53125","-35.1875","73.75"
"1537529907129","55","-0.6972656","0.23730469","-0.41503906","20.28125","15.59375","69.59375"
